,URL,GAB TEXT
0,https://baramrema.com/,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오."
1,http://l2classic.world/,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오."
2,https://mu59.cc/,"이미 사용 중인 URL 입니다.
다른 URL을 사용해 주십시오."
3,http://giranclassic.ddns.net:9000/,사용 가능한 URL 입니다.
4,https://grdmu2.xyz/,사용 가능한 URL 입니다.
5,https://funy.xyz/,사용 가능한 URL 입니다.
6,https://semal10.blogspot.com/,사용 가능한 URL 입니다.
7,https://aortla1027.blogspot.com/,사용 가능한 URL 입니다.
8,https://mom1030.blogspot.com/,사용 가능한 URL 입니다.
9,https://starhero015.blogspot.com/,사용 가능한 URL 입니다.
10,https://acac02.net/,사용 가능한 URL 입니다.
